corp_code,bsns_year,drctr_co,otcmp_drctr_co,stlm_dt,rcept_no,corp_name,outside_ratio
00173944,2025,7.0,2.0,2025-12-31,20260316000450,우진,0.2857142857142857
00129350,2025,6.0,2.0,2025-12-31,20260319001054,삼화콘덴서공업,0.3333333333333333
00303217,2025,4.0,1.0,2025-12-31,20260604000634,우진플라임,0.25
01036446,2025,6.0,3.0,2025-12-31,20260318001250,서연이화,0.5
00129554,2025,3.0,1.0,2025-12-31,20260320001005,갤럭시아에스엠,0.3333333333333333
00105156,2025,6.0,2.0,2025-12-31,20260323001025,극동유화,0.3333333333333333
00146649,2025,3.0,1.0,2025-12-31,20260311004252,일진홀딩스,0.3333333333333333
00148443,2025,7.0,3.0,2025-12-31,20260316001198,제일파마홀딩스,0.42857142857142855
00148939,2025,6.0,3.0,2025-12-31,20260319000650,조광피혁,0.5
01255652,2025,4.0,1.0,2025-12-31,20260318001193,레이크머티리얼즈,0.25
00664181,2025,4.0,1.0,2025-12-31,20260320001337,인텔리안테크,0.25
00763473,2025,5.0,3.0,2025-12-31,20260330001688,코스메카코리아,0.6
00166272,2025,7.0,3.0,2025-12-31,20260323001005,화승코퍼레이션,0.42857142857142855
00143794,2025,3.0,1.0,2025-12-31,20260318001057,원림,0.3333333333333333
00118965,2025,4.0,1.0,2025-12-31,20260323001500,티에이치엔,0.25
00260879,2025,7.0,2.0,2025-12-31,20260317000899,카페24,0.2857142857142857
00132354,2025,5.0,3.0,2025-12-31,20260316001353,쿠쿠홀딩스,0.6
00159254,2025,3.0,1.0,2025-12-31,20260319000807,한국전자홀딩스,0.3333333333333333
00168401,2025,3.0,1.0,2025-09-30,20251215000379,금비,0.3333333333333333
01407909,2025,6.0,2.0,2025-12-31,20260319000649,원텍,0.3333333333333333
01532603,2025,6.0,3.0,2025-12-31,20260323000996,화승알앤에이,0.5
00111458,2025,5.0,2.0,2025-12-31,20260319001078,대영포장,0.4
00218575,2025,7.0,3.0,2025-12-31,20260323000918,황금에스티,0.42857142857142855
00134316,2025,6.0,3.0,2025-06-30,20250922000199,세원정공,0.5
00103042,2025,6.0,2.0,2025-12-31,20260319001225,케이씨티시,0.3333333333333333
01267684,2025,5.0,3.0,2025-12-31,20260318001337,쿠쿠홈시스,0.6
00122348,2025,4.0,1.0,2025-09-30,20251222000124,방림,0.25
00147222,2025,4.0,1.0,2025-12-31,20260319000974,전방,0.25
00145464,2025,7.0,3.0,2025-12-31,20260316001242,이구산업,0.42857142857142855
00109161,2025,3.0,1.0,2025-12-31,20260317000715,태경케미컬,0.3333333333333333
00101628,2025,4.0,1.0,2025-12-31,20260318000486,경방,0.25
00823429,2025,3.0,1.0,2025-12-31,20260319001261,한국화장품,0.3333333333333333
00174004,2025,6.0,3.0,2025-12-31,20260629000189,유성기업,0.5
00123107,2025,3.0,1.0,2025-12-31,20260318000334,보락,0.3333333333333333
00220561,2025,6.0,3.0,2025-12-31,20260316001014,광주신세계,0.5
00165343,2025,4.0,1.0,2025-12-31,20260814001348,혜인,0.25
