corp_code,corp_name,stock_code,stage,stage_reason,risk_score,status,status_code,end_date,capital_total,capital_impaired,부채비율,유동비율,이자보상배율,fs_missing,induty_code,is_b2b_industry,final_distress_label,NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
00173944,우진,105840,0,정상,0.0,계속사업자,01,,174269978144.0,False,23.389452014689063,364.148438522053,,False,27216,False,False,408,우진,105840,B,C,B,B,2025,,,,
00129350,삼화콘덴서공업,001820,0,정상,0.0,계속사업자,01,,239899483023.0,False,22.50481464264927,352.9328739018992,,False,26291,False,False,599,삼화콘덴서공업,001820,C,C,C,C,2025,,,,
00303217,우진플라임,049800,1,유동비율<100%;,25.0,계속사업자,01,,104942839248.0,False,194.5934691125576,86.33734936182327,,False,292,False,False,406,우진플라임,049800,D,C,D,D,2025,,,,
01036446,서연이화,200880,1,유동비율<100%;,25.0,계속사업자,01,,1123514770801.0,False,61.57267194198105,90.98701224297535,,False,303,False,False,591,서연이화,200880,B+,B+,A,B,2025,,,,
00129554,갤럭시아에스엠,011420,0,정상,0.0,계속사업자,01,,72286895907.0,False,14.614788801543993,527.5608198189476,,False,911,False,False,902,갤럭시아에스엠,011420,D,D,D,D,2025,,,,
00105156,극동유화,014530,1,유동비율<100%;,25.0,계속사업자,01,,204960954927.0,False,102.59842088699128,85.12754791906848,,False,19221,False,False,871,극동유화,014530,D,C,C,D,2025,,,,
00146649,일진홀딩스,015860,1,유동비율<100%;,25.0,계속사업자,01,,255510544831.0,False,48.08054769843496,80.09649450881562,,False,64992,False,False,328,일진홀딩스,015860,C,C,C,B,2025,,,,
00148443,제일파마홀딩스,002620,1,유동비율<100%;,25.0,계속사업자,01,,297322190779.0,False,31.678512812388604,42.58947825444717,,False,715,True,False,313,제일파마홀딩스,002620,B+,B,A,B+,2025,,,,
00148939,조광피혁,004700,0,정상,0.0,계속사업자,01,,434710151011.0,False,,987.6353054094538,,False,15110,False,False,307,조광피혁,004700,D,D,D,D,2025,,,,
01255652,레이크머티리얼즈,281740,0,정상,0.0,계속사업자,01,,134523823798.0,False,135.37403120762872,112.25634271401783,,False,204,False,False,729,레이크머티리얼즈,281740,D,D,C,C,2025,,,,
00664181,인텔리안테크,189300,0,정상,0.0,계속사업자,01,,260456548698.0,False,,196.3429916994645,,False,26429,False,False,342,인텔리안테크,189300,C,C,B,D,2025,,,,
00763473,코스메카코리아,241710,1,유동비율<100%;,25.0,계속사업자,01,,226561525262.0,False,91.27348716639486,80.41592446769785,,False,20423,False,False,240,코스메카코리아,241710,C,C,C,C,2025,,,,
00166272,화승코퍼레이션,013520,1,유동비율<100%;,25.0,계속사업자,01,,306954124987.0,False,82.86089602078874,80.99358191951573,,False,303,False,False,22,화승코퍼레이션,013520,C,B+,A,C,2025,,,,
00143794,원림,005820,0,정상,0.0,계속사업자,01,,96963667457.0,False,13.366961183422433,364.48507918319126,,False,13225,False,False,403,원림,005820,D,D,D,D,2025,,,,
00118965,티에이치엔,019180,0,정상,0.0,계속사업자,01,,221041128667.0,False,143.14132664770304,120.7229601750662,,False,289,False,False,197,티에이치엔,019180,D,C,C,D,2025,,,,
00260879,카페24,042000,0,정상,0.0,계속사업자,01,,265990112212.0,False,50.39715701768569,194.5615739288184,,False,63112,False,False,271,카페24,042000,C,D,C,B,2025,,,,
00132354,쿠쿠홀딩스,192400,0,정상,0.0,계속사업자,01,,612246017074.0,False,22.504654665372296,4864.512401311307,,False,649,False,False,226,쿠쿠홀딩스,192400,C,D,C,C,2025,,,,
00159254,한국전자홀딩스,006200,0,정상,0.0,계속사업자,01,,149174836223.0,False,2.3101906556466902,,,False,64992,False,False,129,한국전자홀딩스,006200,D,C,D,D,2025,,,,
00168401,금비,008870,1,유동비율<100%;,25.0,계속사업자,01,,80216973463.0,False,86.69861610034252,68.75160555786952,,False,23192,False,False,869,금비,008870,D,C,D,D,2025,,,,
01407909,원텍,336570,0,정상,0.0,계속사업자,01,,161947557578.0,False,33.65298092238944,332.1613625546328,,False,271,False,False,395,원텍,336570,D,D,D,D,2025,,,,
01532603,화승알앤에이,378850,1,유동비율<100%;,25.0,계속사업자,01,,166895100708.0,False,178.50843084797594,80.86841899308585,,False,30399,False,False,25,화승알앤에이,378850,B+,B+,A,B,2025,,,,
00111458,대영포장,014160,0,정상,0.0,계속사업자,01,,192296367683.0,False,35.88399291855177,141.75847795836137,,False,1721,False,False,807,대영포장,014160,D,D,D,D,2025,,,,
00218575,황금에스티,032560,0,정상,0.0,계속사업자,01,,263100055113.0,False,20.52672866822654,319.0854695133955,,False,24290,False,False,15,황금에스티,032560,C,D,D,B,2025,,,,
00134316,세원정공,021820,0,정상,0.0,계속사업자,01,,389324625534.0,False,9.042615671102858,1553.069389257346,,False,303,False,False,565,세원정공,021820,D,C,C,D,2025,,,,
00103042,케이씨티시,009070,1,유동비율<100%;,25.0,계속사업자,01,,248904486515.0,False,158.46247122557617,67.17603899446834,,False,49301,False,False,255,케이씨티시,009070,D,C,D,D,2025,,,,
01267684,쿠쿠홈시스,284740,0,정상,0.0,계속사업자,01,,900766336452.0,False,16.508266169527747,356.1998628698586,,False,762,False,False,225,쿠쿠홈시스,284740,C,D,C,C,2025,,,,
00122348,방림,003610,0,정상,0.0,계속사업자,01,,180203817685.0,False,15.543425003881875,477.2769806126599,,False,132,False,False,667,방림,003610,D,C,D,D,2025,,,,
00147222,전방,000950,0,정상,0.0,계속사업자,01,,227574213316.0,False,4.616125560505857,3864.583420969945,,False,13101,False,False,324,전방,000950,D,C,D,D,2025,,,,
00145464,이구산업,025820,0,정상,0.0,계속사업자,01,,145642344047.0,False,158.8310247432913,125.23479901972888,,False,24221,False,False,368,이구산업,025820,C,C,D,C,2025,,,,
00109161,태경케미컬,006890,0,정상,0.0,계속사업자,01,,165040053608.0,False,30.768408487440364,460.5211462463836,,False,20121,False,False,213,태경케미컬,006890,D,D,D,D,2025,,,,
00101628,경방,000050,1,유동비율<100%;,25.0,계속사업자,01,,829121410431.0,False,42.3422734627616,58.19932706569652,,False,47119,False,False,896,경방,000050,C,C,D,C,2025,,,,
00823429,한국화장품,123690,0,정상,0.0,계속사업자,01,,44882196537.0,False,22.46070473999538,143.82656701514316,,False,46443,True,False,113,한국화장품,123690,D,D,C,D,2025,,,,
00174004,유성기업,002920,0,정상,0.0,계속사업자,01,,126455532022.0,False,99.31196474437462,155.14381195098812,,False,303,False,False,382,유성기업,002920,C,C,C,C,2025,,,,
00123107,보락,002760,0,정상,0.0,계속사업자,01,,48730562769.0,False,21.569183715002048,350.73749965284435,,False,2049,False,False,663,보락,002760,D,D,D,D,2025,,,,
00220561,광주신세계,037710,1,유동비율<100%;,25.0,계속사업자,01,,865233394114.0,False,45.95185377017648,40.18195602384665,,False,47111,False,False,882,광주신세계,037710,A,A,A+,A,2025,,,,
00165343,혜인,003010,0,정상,0.0,계속사업자,01,,127629006006.0,False,96.39919149195288,148.8830479320592,,False,465,True,False,28,혜인,003010,D,D,D,D,2025,,,,
00258689,JYP Ent.,035900,0,정상,0.0,계속사업자,01,,583926750069.0,False,28.096132608176227,238.4779913210759,,False,59201,False,False,1016,JYP Ent.,035900,B+,A,A+,B,2025,,,,
00101220,KG케미칼,001390,1,유동비율<100%;,25.0,계속사업자,01,,240100406057.0,False,54.71908884519342,89.08047789674724,,False,201,False,False,1004,KG케미칼,001390,C,B+,B+,D,2025,,,,
00152686,코리아써키트,007810,0,정상,0.0,계속사업자,01,,384880870574.0,False,120.23744943203778,153.8388308998026,,False,2622,False,False,246,코리아써키트,007810,C,B,B+,D,2025,,,,
00162993,한일홀딩스,003300,0,정상,0.0,계속사업자,01,,833672139735.0,False,8.631528395788008,234.9780535316465,,False,23311,False,False,80,한일홀딩스,003300,B+,A,A+,B,2025,,,,
00332927,제이에스코퍼레이션,194370,1,유동비율<100%;,25.0,계속사업자,01,,353931486637.0,False,85.73478231288793,62.11488922217306,,False,15121,False,False,319,제이에스코퍼레이션,194370,D,D,D,C,2025,,,,
00398792,SNT모티브,064960,0,정상,0.0,계속사업자,01,,1014510835725.0,False,25.004107021264115,369.5006706608911,,False,303,False,False,924,SNT모티브,064960,D,C,C,D,2025,,,,
00148920,조광페인트,004910,1,유동비율<100%;,25.0,계속사업자,01,,219083100642.0,False,87.95066431064593,80.41438851828939,,False,20411,False,False,308,조광페인트,004910,B+,A,A,B,2025,,,,
01170865,네오셈,253590,0,정상,0.0,계속사업자,01,,109617625886.0,False,32.014255198790984,580.878813818388,,False,292,False,False,849,네오셈,253590,D,D,D,D,2025,,,,
00136864,신원,009270,0,정상,0.0,계속사업자,01,,232547507369.0,False,181.3203589926801,110.29695934648724,,False,14112,False,False,532,신원,009270,B,B+,A+,C,2025,,,,
00137809,SHD,001770,0,정상,0.0,계속사업자,01,,55403591030.0,False,45.46632442716593,216.77503180993375,,False,24199,False,False,946,SHD,001770,D,D,D,C,2025,,,,
00220686,에스피지,058610,0,정상,0.0,계속사업자,01,,154019924758.0,False,82.00309303971385,121.65651560294062,,False,28111,False,False,466,에스피지,058610,D,D,D,D,2025,,,,
00857727,하림,136480,1,유동비율<100%;,25.0,계속사업자,01,,309592421000.0,False,168.48400303701231,68.62988171402978,,False,1012,False,False,149,하림,136480,A,A,A+,A,2025,,,,
00146269,일신방직,003200,0,정상,0.0,계속사업자,01,,604582416252.0,False,9.377182458672351,507.0070218197112,,False,13101,False,False,336,일신방직,003200,D,C,C,D,2025,,,,
00130091,샘표,007540,0,정상,0.0,계속사업자,01,,215368155466.0,False,2.944117547592128,9040.638029388048,,False,64992,False,False,595,샘표,007540,C,B,B+,D,2025,,,,
