corp_code,corp_name,stock_code,stage,stage_reason,risk_score,status,status_code,end_date,capital_total,capital_impaired,부채비율,유동비율,이자보상배율,fs_missing,induty_code,is_b2b_industry,final_distress_label,NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정,ESG등급_ord,환경_ord,사회_ord,지배구조_ord,distress,log_capital,sector,drctr_co,otcmp_drctr_co,outside_ratio
173944,우진,105840,0,정상,0.0,계속사업자,1.0,,174269978144.0,False,23.389452014689063,364.148438522053,,False,27216,False,False,408,우진,105840,B,C,B,B,2025,,,,,3,2,3,3,0,25.883871532204367,제조업,7.0,2.0,0.2857142857142857
129350,삼화콘덴서공업,1820,0,정상,0.0,계속사업자,1.0,,239899483023.0,False,22.50481464264927,352.9328739018992,,False,26291,False,False,599,삼화콘덴서공업,1820,C,C,C,C,2025,,,,,2,2,2,2,0,26.203485851821,제조업,6.0,2.0,0.3333333333333333
303217,우진플라임,49800,1,유동비율<100%;,25.0,계속사업자,1.0,,104942839248.0,False,194.5934691125576,86.33734936182327,,False,292,False,False,406,우진플라임,49800,D,C,D,D,2025,,,,,1,2,1,1,1,25.37668165075664,제조업,4.0,1.0,0.25
1036446,서연이화,200880,1,유동비율<100%;,25.0,계속사업자,1.0,,1123514770801.0,False,61.57267194198105,90.98701224297535,,False,303,False,False,591,서연이화,200880,B+,B+,A,B,2025,,,,,4,4,5,3,1,27.74748307561577,제조업,6.0,3.0,0.5
129554,갤럭시아에스엠,11420,0,정상,0.0,계속사업자,1.0,,72286895907.0,False,14.614788801543993,527.5608198189476,,False,911,False,False,902,갤럭시아에스엠,11420,D,D,D,D,2025,,,,,1,1,1,1,0,25.003908703584486,기타,3.0,1.0,0.3333333333333333
105156,극동유화,14530,1,유동비율<100%;,25.0,계속사업자,1.0,,204960954927.0,False,102.59842088699128,85.12754791906848,,False,19221,False,False,871,극동유화,14530,D,C,C,D,2025,,,,,1,2,2,1,1,26.04608533417356,제조업,6.0,2.0,0.3333333333333333
146649,일진홀딩스,15860,1,유동비율<100%;,25.0,계속사업자,1.0,,255510544831.0,False,48.08054769843496,80.09649450881562,,False,64992,False,False,328,일진홀딩스,15860,C,C,C,B,2025,,,,,2,2,2,3,1,26.26652951709274,금융보험,3.0,1.0,0.3333333333333333
148443,제일파마홀딩스,2620,1,유동비율<100%;,25.0,계속사업자,1.0,,297322190779.0,False,31.678512812388604,42.58947825444717,,False,715,True,False,313,제일파마홀딩스,2620,B+,B,A,B+,2025,,,,,4,3,5,4,1,26.418082205197585,전문과학기술,7.0,3.0,0.4285714285714285
148939,조광피혁,4700,0,정상,0.0,계속사업자,1.0,,434710151011.0,False,,987.6353054094538,,False,15110,False,False,307,조광피혁,4700,D,D,D,D,2025,,,,,1,1,1,1,0,26.797945326430643,제조업,6.0,3.0,0.5
1255652,레이크머티리얼즈,281740,0,정상,0.0,계속사업자,1.0,,134523823798.0,False,135.37403120762872,112.25634271401783,,False,204,False,False,729,레이크머티리얼즈,281740,D,D,C,C,2025,,,,,1,1,2,2,0,25.62500714891255,제조업,4.0,1.0,0.25
