기업명,ESG등급,환경,사회,지배구조,ESG 등급조정,사회 등급조정,지배구조 등급조정
CJ,B+,A,A+,B,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
CJ CGV,B+,A+,A+,B,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
CJ대한통운,B,A,A+,C,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
CJ제일제당,A,A,A,A,,사회 등급조정(2026.04.),
DB,C,D,B,D,,,지배구조 등급조정(2026.04.)
DL,A,A+,A,A,,사회 등급조정(2026.01.),
DL이앤씨,A,A+,A,B+,,사회 등급조정(2026.01.),
HJ중공업,B+,A,B+,B+,통합 등급조정(2026.01.),사회 등급조정(2026.01.),
KB금융,A+,A+,A,A+,,사회 등급조정(2026.04.),
KG스틸,B,B+,B+,C,,사회 등급조정(2026.01.),
NH투자증권,B+,A,A,B+,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
SK텔레콤,A,A,B+,A,,사회 등급조정(2025.11.),
SOOP,C,B+,B+,C,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
경보제약,B+,A,A,B,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
계룡건설산업,C,B+,C,C,,사회 등급조정(2025.11.),
고려아연,B,A,A,C,통합 등급조정(2026.07.),,지배구조 등급조정(2026.07.)
교보증권,B+,A,A,B+,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
금호건설,C,B,C,C,,사회 등급조정(2026.01.),
기아,B+,A+,A,B,통합 등급조정(2026.01.),사회 등급조정(2026.01.),
기업은행,B,A+,A+,C,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
대우건설,A,A,B+,A,,사회 등급조정(2025.11.),
대한제당,D,C,D,D,,사회 등급조정(2026.04.),
대한제분,C,C,D,C,,사회 등급조정(2026.07.),
동부건설,B,B+,B,B,통합 등급조정(2026.04.),사회 등급조정(2026.04.),
메디톡스,C,B+,B,D,,,지배구조 등급조정(2025.11.)
모델솔루션,C,C,D,C,,,지배구조 등급조정(2026.01.)
무림P&P,A,A,A,B+,,사회 등급조정(2026.07.),
무림페이퍼,B+,A,A,B,,사회 등급조정(2026.07.),
미래에셋증권,B,A,A,C,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
사조동아원,B+,B+,B+,B,,사회 등급조정(2026.07.),
삼성물산,A,A,A,A+,통합 등급조정(2026.01.),사회 등급조정(2026.01.),
삼성중공업,B+,A,B+,B+,통합 등급조정(2026.01.),사회 등급조정(2026.01.),
삼양사,B+,A,B+,B+,통합 등급조정(2026.04.),사회 등급조정(2026.04.),
신한지주,A+,A+,B+,A+,,사회 등급조정(2026.04.),
영원무역홀딩스,C,B+,B+,C,통합 등급조정(2026.04.),,지배구조 등급조정(2026.04.)
영풍,C,B,A,D,통합 등급조정(2026.07.),,지배구조 등급조정(2026.07.)
우리금융지주,A,A+,A,B+,,사회 등급조정(2026.04.),
유안타증권,C,C,D,C,,,지배구조 등급조정(2025.11.)
유진증권,B+,B,A,B,,,지배구조 등급조정(2025.11.)
일양약품,D,D,C,D,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
케이티,A,A,A,A,,사회 등급조정(2026.01.),
태광산업,B,A,A+,C,통합 등급조정(2026.07.),,지배구조 등급조정(2026.07.)
태영건설,B+,B+,B,B+,,사회 등급조정(2025.11.),
하나금융지주,A,A,B+,A+,통합 등급조정(2026.04.),사회 등급조정(2026.04.),
한국앤컴퍼니,B,B+,A+,C,통합 등급조정(2025.11.),,지배구조 등급조정(2025.11.)
한국제지,D,C,D,D,,사회 등급조정(2026.07.),
한국타이어앤테크놀로지,A,B+,A+,B+,,,지배구조 등급조정(2025.11.)
한솔제지,A,A,A,A,,사회 등급조정(2026.07.),
한일현대시멘트,B+,A,B+,B+,통합 등급조정(2025.11.),사회 등급조정(2025.11.),
한전KPS,A,A,A,A,,사회 등급조정(2025.11.),
한화에어로스페이스,B+,A,B+,B+,통합 등급조정(2026.07.),사회 등급조정(2026.07.),
한화오션,C,A,D,D,,사회 등급조정(2025.11.),
현대자동차,A,A+,B+,B+,,사회 등급조정(2026.04.),
