종목코드,법인명,지정구분,업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),ESG등급,환경,사회,지배구조
286940,롯데이노베이트,사업장,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","120,487","2,514",A,A,A+,A
00None,리뉴에너지경인,사업장,폐기물 처리업,"51,427",12,,,,
00None,남해환경,사업장,폐기물 처리업,"27,986",178,,,,
00None,에보닉페록사이드코리아,사업장,기초 화학물질 제조업,"36,818",734,,,,
00None,청명,사업장,폐기물,"25,597",511,,,,
00None,호남고속,사업장,교통(여객),"20,755",317,,,,
00None,우체국물류지원단,사업장,육상운송 및 파이프라인 운송업,"18,542",273,,,,
00None,MSC,사업장,기타 식품 제조업,"29,704",596,,,,
009160,SIMPAC,업체,1차 철강 제조업,"99,791","1,161",D,C,C,D
002820,SUN&L,사업장,나무제품 제조업,"9,998",271,C,C,C,B
198440,강동씨앤엘,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","9,576",181,,,,
035250,강원랜드,사업장,유원지 및 기타 오락관련 서비스업,"79,430","1,602",A,A,A,A
00None,건화,사업장,선박 및 보트 건조업,"36,370",655,,,,
00None,경기고속,업체,육상 여객 운송업,"115,254","1,851",,,,
00None,경동,업체,석탄 광업,"204,871",383,,,,
00None,경동원,사업장,기계,"8,652",168,,,,
214390,경보제약,사업장,석유화학,"11,603",278,B+,B+,A,B
00None,경북고속,사업장,육상 여객 운송업,"31,288",443,,,,
00None,경신전선,사업장,전기전자,"14,500",300,,,,
00None,국제금속,사업장,비철금속,"29,525",293,,,,
00None,그린스코,사업장,폐기물 처리업,"59,323",102,,,,
00None,금남고속,사업장,육상 여객 운송업,"22,296",318,,,,
008870,금비,사업장,유리 및 유리제품 제조업,"84,439","1,195",D,D,D,C
00None,남해고속,사업장,교통(해운),"23,741",338,,,,
212560,네오오토,사업장,자동차,"16,901",350,,,,
00None,네이처이앤티경주,사업장,지정외 폐기물처리업 등,"30,830",5,,,,
033640,네패스,사업장,반도체,"15,802",326,C,B,B+,D
005720,넥센,사업장,석유화학,"17,306",357,B+,B+,A,B
00None,농협물류,사업장,도로 화물 운송업,"29,600",433,,,,
00None,농협사료,업체,식료품 제조업,"87,275","1,791",,,,
00None,다나에너지솔루션,사업장,폐기물 처리업,"58,590",222,,,,
00None,대농,사업장,섬유,"3,811",79,,,,
00None,대동세라믹,사업장,"내화, 비내화 요업제품 제조업","36,887",677,,,,
