종목코드=기업코드,법인명=종목명=기업명,지정구분,지정업종(목표)/계획업종(할당),업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),시장구분,시가총액,ESG등급,환경,사회,지배구조,비고
095570,AJ네트웍스,,,일반서비스,,,KOSPI,,B+,C,A,B+,
006840,AK홀딩스,,,기타금융,,,KOSPI,,A,A,A+,B+,
027410,BGF,,,기타금융,,,KOSPI,,A,A,A+,B+,
282330,BGF리테일,,,유통,,,KOSPI,,A,A,A+,A,
126600,BGF에코머티리얼즈,,,화학,,,KOSDAQ,,B,B,B,B,
138930,BNK금융지주,,,기타금융,,,KOSPI,,A,A+,A+,A,
801190,BNK캐피탈,,,,,,,,등급없음,등급없음,등급없음,B,
001460,BYC,,,섬유·의류,,,KOSPI,,D,D,D,C,
001040,CJ,,,기타금융,,,KOSPI,,A,A,A+,A,
079160,CJ CGV,업체,건물,오락·문화,"69,504","1,397",KOSPI,,A,A+,A+,A,
035760,CJ ENM,,,오락·문화,,,KOSDAQ,,A,B+,A+,B+,
311690,CJ 바이오사이언스,,,일반서비스,,,KOSDAQ,,B+,C,B+,B+,
000120,CJ대한통운,업체,도로 화물 운송업,운송·창고,"228,750","4,077",KOSPI,2.15805E+12,A,A,A+,B+,
011150,CJ씨푸드,,,음식료·담배,,,KOSPI,,B+,A,A,B,
097950,CJ제일제당,업체,"곡물 가공품, 전분 및 전분제품 제조업",음식료·담배,"421,213","9,704",KOSPI,3.13127E+12,A,A,A,B+,
051500,CJ프레시웨이,,,유통,,,KOSDAQ,,A,A,A,B+,
000590,CS홀딩스,,,기타금융,,,KOSPI,,C,D,D,B,
012030,DB,,,IT 서비스,,,KOSPI,,C,D,B,C,
818158,DB생명보험,,,,,,,,등급없음,등급없음,등급없음,B+,
005830,DB손해보험,,,보험,,,KOSPI,,B+,A,A,B+,
016610,DB증권,,,증권,,,KOSPI,,B,C,C,B+,
000990,DB하이텍,업체,반도체 제조업,전기·전자,"278,302","4,069",KOSPI,,C,B+,A,D,
813363,DGB생명보험,,,,,,,,등급없음,등급없음,등급없음,B+,
000210,DL,업체,합성고무 및 플라스틱 물질 제조업,화학,39,0,KOSPI,,A,A,A+,A,
375500,DL이앤씨,업체,건설,건설,"53,238","1,015",KOSPI,,A,A,A+,A,
